Nick	Overview	Name	Romanized Name	Nationality	Born	Status	Years Active (Player)	Years Active (Coach)	Years Active (Analyst)	Role	Team	Nicknames	Alternate IDs	Approx. Total Winnings	Games
stikle-	"Klesti ""stikle-"" Kola (born July 5, 1998) is an Albanian professional Counter-Strike: Global Offensive coach."	Klesti Kola		Albania	July  5, 1998 (age 25)	Active		2020 – Present		Coach	Sangal Esports			$1,006	Global Offensive
chrissK	"Christoph ""chrissK"" Kröll (born May 16, 1997) is an Austrian professional Counter-Strike: Global Offensive player."	Christoph Kröll		Austria	May 16, 1997 (age 26)	Active	2015 – Present						chrissK	$6,314	Global Offensive
dukiiii	"Dusan ""dukiiii"" Ivkovic (born July 26, 1996) is an Austrian professional Counter-Strike: Global Offensive and former Counter-Strike: Source player. dukiiii was previously banned on ESL for cheating in February 2014 and 99Damage on November 2015 as well as on ESEA and FACEIT. In November 2016, 99Damage convicted dukiiii of impersonating baldii in the 99Liga S4 Div. 1 and nail in the 99Damage Arena 18 and 19."	Dusan Ivkovic		Austria	July 26, 1996 (age 27)	Active	2013 – Present			entry fragger			dukiii	$8,358	Global Offensive
kakafu	"Alexander ""kakafu"" Szymanczyk (born April 9, 1989) is an Austrian professional Counter-Strike: Global Offensive assistant coach for OG and a retired professional Counter-Strike: Global Offensive and Counter-Strike player."	Alexander Szymanczyk		Austria	April  9, 1989 (age 34)	Active	2009 – 2015	2016 – Present		Assistant Coach	OG		kakafu se ace	$2,600	Global Offensive
NinoZjE	"Anel ""NinoZjE"" Zukic (born June 30, 1999) is an Austrian professional Counter-Strike: Global Offensive player of Bosnian descent."	Anel Zukić		Austria	June 30, 1999 (age 24)	Active	2017 – Present			Rifler			Nino	$5,607	Global Offensive
Orbit	"Manuel ""Orbit"" Sailer (formerly known as KingOrbit) (born March 26, 2002) is an Austrian professional Counter-Strike: Global Offensive player."	Manuel Sailer		Austria	March 26, 2002 (age 21)	Active				entry fragger	GHR E-Sports		KingOrbit	$7,043	Global Offensive
ReacTioNNN	"Alexander ""ReacTioNNN"" Grassauer (born February 20, 2001) is an Inactive Austrian professional Counter-Strike: Global Offensive player."	Alexander Grassauer		Austria	February 20, 2001 (age 22)	Inactive	2017 – 2022			lurker				$8,289	Global Offensive
S3NSEY	"Efekan ""S3NSEY"" Topaloglu (born May 17, 2003) is an Austrian professional Counter-Strike: Global Offensive player of Turkish descent."	Efekan Topaloglu		Austria	May 17, 2003 (age 20)	Active				AWPer				$12,150	Global Offensive
sesL	"Michael ""sesL"" Higatzberger (born June 30, 2000) is an Austrian professional Counter-Strike: Global Offensive player."	Michael Higatzberger		Austria	June 30, 2000 (age 23)	Active	2018 – Present			AWPer				$8,499	Global Offensive
TWEEZYCS	"Amir ""TWEEZYCS"" Zhuta (born April 17, 2001) is an Austrian professional Counter-Strike: Global Offensive player of Albanian descent."	Amir Zhuta		Austria	April 17, 2001 (age 22)	Active	2018 – Present			Rifler	ARROW			$2,349	Global Offensive
xTreMe	"Jonathan ""xTreMe"" Steinhöfler (born November 14, 2000) is an Austrian professional Counter-Strike: Global Offensive player."	Jonathan Steinhöfler		Austria	November 14, 2000 (age 22)	Active	2017 – Present			entry fragger	TeamOrangeGaming			$4,166	Global Offensive
AntO_oNNN	"Anton ""AntO_oNNN"" Van Gorp (born July 18, 1995) is a Belgian professional Counter-Strike: Global Offensive assistant coach, analyst, and former manager."	Anton Van Gorp		Belgium	July 18, 1995 (age 28)	Active		2017 – Present	2018 – Present						Global Offensive
CrePoW	"Milan ""CrePoW"" Libbrecht (born July 9, 2001) is a Belgian-Russian professional Counter-Strike: Global Offensive player."	Milan Libbrecht		Russia	July  9, 2001 (age 22)	Active	2017 – Present			In-game leader				$6,261	Global Offensive
FARIS	"Faris ""FARIS"" Ait-lalla is an inactive Belgian professional Counter-Strike: Global Offensive player."	Faris Ait-lalla		Belgium	December 16, 1992 (age 30)	Inactive	2012 – 2018			Rifler			Sad	$6,028	Global Offensive
Infernal	"Nasrat ""Infernal"" Shafaq (born January 25, 1998) is an Afghan-Belgian professional Counter-Strike: Global Offensive player."	نصرت شفق	Nasrat Shafaq	Afghanistan	January 25, 1998 (age 25)	Active	2017 – Present			entry fragger			cyka007, Lightbringer, Infernal	$3,797	Global Offensive
