Name	Romanized Name	Nationality	Born	Status	Years Active (Player)	Years Active (Coach)	Years Active (Analyst)	Role	Team	Nicknames	Alternate IDs	Approx. Total Winnings	Games
Klesti Kola		Albania	July  5, 1998 (age 25)	Active		2020 – Present		Coach	Sangal Esports			$1,006	Global Offensive
Christoph Kröll		Austria	May 16, 1997 (age 26)	Active	2015 – Present						chrissK	$6,314	Global Offensive
Dusan Ivkovic		Austria	July 26, 1996 (age 27)	Active	2013 – Present			entry fragger			dukiii	$8,358	Global Offensive
Alexander Szymanczyk		Austria	April  9, 1989 (age 34)	Active	2009 – 2015	2016 – Present		Assistant Coach	OG		kakafu se ace	$2,600	Global Offensive
Anel Zukić		Austria	June 30, 1999 (age 24)	Active	2017 – Present			Rifler			Nino	$5,607	Global Offensive
Manuel Sailer		Austria	March 26, 2002 (age 21)	Active				entry fragger	GHR E-Sports		KingOrbit	$7,043	Global Offensive
Alexander Grassauer		Austria	February 20, 2001 (age 22)	Inactive	2017 – 2022			lurker				$8,289	Global Offensive
Efekan Topaloglu		Austria	May 17, 2003 (age 20)	Active				AWPer				$12,150	Global Offensive
Michael Higatzberger		Austria	June 30, 2000 (age 23)	Active	2018 – Present			AWPer				$8,499	Global Offensive
Amir Zhuta		Austria	April 17, 2001 (age 22)	Active	2018 – Present			Rifler	ARROW			$2,349	Global Offensive
Jonathan Steinhöfler		Austria	November 14, 2000 (age 22)	Active	2017 – Present			entry fragger	TeamOrangeGaming			$4,166	Global Offensive
Anton Van Gorp		Belgium	July 18, 1995 (age 28)	Active		2017 – Present	2018 – Present						Global Offensive
Milan Libbrecht		Russia	July  9, 2001 (age 22)	Active	2017 – Present			In-game leader				$6,261	Global Offensive
Faris Ait-lalla		Belgium	December 16, 1992 (age 30)	Inactive	2012 – 2018			Rifler			Sad	$6,028	Global Offensive
نصرت شفق	Nasrat Shafaq	Afghanistan	January 25, 1998 (age 25)	Active	2017 – Present			entry fragger			cyka007, Lightbringer, Infernal	$3,797	Global Offensive
Nicolas Dgus		Belgium	December 29, 2000 (age 22)	Active	2017 – Present			Rifler	GamerLegion			$132,412	Global Offensive
Kelly Verhaegen		Belgium	September 30, 1993 (age 30)	Active	2014 – Present			Rifler				$20,605	Global Offensive
Jarne Van Ransbeeck		Belgium	August 14, 2000 (age 23)	Active	2016 – Present			Rifler				$6,831	Global Offensive
Fréderic Dewever		Belgium		Active	2009 – Present			Rifler			CaRpEt_RiGhT	$8,015	Global Offensive
Bram Campana		Belgium	December 19, 2003 (age 19)	Active	2018 – Present			Rifler	MOUZ NXT			$11,888	Global Offensive
Richard Mestdagh		Belgium	August 28, 1998 (age 25)	Active	2018 – Present			Rifler				$19,446	Global Offensive
Robin Bynens		Belgium	July 14, 1995 (age 28)	Active	2017 – Present			Rifler				$17,307	Global Offensive
Steven Rombaut		Belgium	June 23, 1993 (age 30)	Active	2016 – Present							$20,883	Global Offensive
Yannick Van Boven		Belgium		Inactive	2016 – 2019			Rifler				$8,671	Global Offensive
Адин Хусић	Adin Husić	Bosnia and Herzegovina	August 20, 2001 (age 22)	Active	2020 – Present			AWPer	Zero Tenacity		BruT	$6,708	Global Offensive
Немања Ковач	Nemanja Kovač	Serbia	January  3, 1996 (age 27)	Active	2015 – Present			lurker	G2 Esports	NiKo's cousin	huNter, hNt	$699,183	Global Offensive
