Nick	Overview	Name	Romanized Name	Nationality	Born	Status	Years Active (Player)	Years Active (Coach)	Years Active (Analyst)	Role	Team	Nicknames	Alternate IDs	Approx. Total Winnings	Games	Population	Nationality_Count
Infernal	"Nasrat ""Infernal"" Shafaq (born January 25, 1998) is an Afghan-Belgian professional Counter-Strike: Global Offensive player."	نصرت شفق	Nasrat Shafaq	Afghanistan	January 25, 1998 (age 25)	Active	2017 – Present			entry fragger			cyka007, Lightbringer, Infernal	$3,797	Global Offensive	38,346,720	1
stikle-	"Klesti ""stikle-"" Kola (born July 5, 1998) is an Albanian professional Counter-Strike: Global Offensive coach."	Klesti Kola		Albania	July  5, 1998 (age 25)	Active		2020 – Present		Coach	Sangal Esports			$1,006	Global Offensive	2,793,592	9
misutaaa	"Kévin ""misutaaa"" Rabier (born January 15, 2003) is a French-Albanian professional Counter-Strike: Global Offensive player."	Kévin Rabier		Albania	January 15, 2003 (age 20)	Active	2017 – Present			Rifler	Into The Breach			$287,694	Global Offensive	2,793,592	9
awzek	"Michalis ""awzek"" Napoloni (born November 10, 1998) is a Greek-Albanian professional Counter-Strike: Global Offensive player."	Μιχάλης Ναπολόνι	Michalis Napoloni	Albania	November 10, 1998 (age 24)	Active	2019 – Present			Rifler	ALTERNATE aTTaX			$17,098	Global Offensive	2,793,592	9
gulito	"Kujtim ""gulito"" Durmishi (born February 26, 1999) is an Albanian-Kosovar professional Counter-Strike: Global Offensive player."	Kujtim Durmishi		Albania	February 26, 1999 (age 24)	Active	2019 – Present			support				$8,706	Global Offensive	2,793,592	9
gxx-	"Genc ""gxx-"" Kolgeci (born May 3, 1999) is a Kosovar-Albanian professional Counter-Strike: Global Offensive player."	Genc Kolgeci		Albania	May  3, 1999 (age 24)	Active				AWPer	Bad News Eagles		gxx	$69,603	Global Offensive	2,793,592	9
juanflatroo	"Flatron ""juanflatroo"" Halimi (born March 18, 1997) is a Kosovar-Albanian professional Counter-Strike: Global Offensive player."	Flatron Halimi		Albania	March 18, 1997 (age 26)	Active	2018 – Present			entry fragger	Bad News Eagles			$78,672	Global Offensive	2,793,592	9
SENER1	"Sener ""SENER1"" Mahmuti (born January 19, 1997) is a Kosovar-Albanian professional Counter-Strike: Global Offensive player."	Sener Mahmuti		Albania	January 19, 1997 (age 26)	Active				support	Bad News Eagles			$60,545	Global Offensive	2,793,592	9
sinnopsyy	"Dionis ""sinnopsyy"" Budeci (born July 24, 1995) is a Kosovar-Albanian professional Counter-Strike: Global Offensive player."	Dionis Budeci		Albania	July 24, 1995 (age 28)	Active	2018 – Present				Bad News Eagles			$68,306	Global Offensive	2,793,592	9
2h	"Ahmet ""2h"" Baftijari (born July 8, 2000) is a Macedonian professional Counter-Strike: Global Offensive player of Albanian descent."	Ahmet Baftijari		Albania	July  8, 2000 (age 23)	Active	2020 – Present			In-game leader	Gucci Gaming Academy		2high	$4,435	Global Offensive	2,793,592	9
DrqkoN	"Malik ""DrqkoN"" Boudjouhali (born November 1, 1995) is a French-Algerian professional Counter-Strike: Global Offensive player."	Malik Boudjouhali		Algeria	November  1, 1995 (age 27)	Active	2017 – Present			AWPer				$4,415	Global Offensive	45,400,000	3
Malikof	"Malik ""Malikof"" Khebchi is a French-Algerian professional Counter-Strike: Global Offensive player."	Malik Khebchi		Algeria	July  7, 1993 (age 30)	Active	2016 – Present				Project 5 Esport		Mugiwara	$2,501	Global Offensive	45,400,000	3
ninis	"Anis ""ninis"" Ounassar (born January 20, 1990) is a French-Algerian professional Counter-Strike: Global Offensive player."	Anis Ounassar		Algeria	January 20, 1990 (age 33)	Active	2016 – Present							$3,348	Global Offensive	45,400,000	3
laser	"Eduardo ""laser"" Chşekin (born October 1, 2001) is an Kazakh-Argentinian professional Counter-Strike: Global Offensive player."	Эдуардо Чшекин	Eduardo Chşekin	Argentina	October  1, 2001 (age 22)	Active	2019 – Present			lurker	Furious Gaming			$5,362	Global Offensive		62
1962	"Gabriel ""1962"" Sinopoli (born November 19, 1995) is an Argentine professional Counter-Strike: Global Offensive player."	Gabriel Hernan Sinópoli		Argentina	November 19, 1995 (age 27)	Active	2016 – Present			entry fragger	LRV Esports	Gabi, Numeritos	1962twm, 1962xD	$24,317	Global Offensive		62
